collect_time,GDY_1,GDY_2,GDY_3,GDY_4,GDY_5,GDY_6,GDY_7,GDY_8,GDY_9,GDY_10,GDY_11,GDY_12,GDY_13,GDY_14,GDY_15,GDY_16,GDY_17,GDY_18,GDY_19,GDY_20,GDY_21,GDY_22,GDY_24,GDY_26,GDY_27,GDY_28,GDY_30,GDY_31,GDY_32,GDY_34,GDY_35,GDY_36,GDY_37,GDY_38,GDY_39,GDY_40
2023-11-20 17:00:00,61.673598,-7.034047,37.941533,66.138912,8.118223,86.158346,74.373731,5.895463,84.309628,79.063051,28.89183,39.993161,53.570959,21.63328,41.6635,50.641425,-25.53451,45.419395,-18.790208,,22.076386,19.133317,69.711533,55.756889,4.979271,50.530558,51.009209,52.479757,40.324022,-14.837953,26.643599,50.969849,43.373722,31.046878,-12.009932,16.889316
2023-11-20 17:10:00,61.673598,-7.034047,37.928971,66.122939,8.102011,86.166494,74.421725,5.944346,84.289028,79.039141,28.875486,39.993161,53.579179,21.64133,41.655507,50.617311,-25.542603,45.435764,-18.806531,,22.104919,19.141396,69.727292,55.745098,4.987351,50.530558,51.017375,52.48791,40.335591,-14.837953,26.643599,50.969849,43.365567,31.03081,-12.026395,16.852603
2023-11-20 17:20:00,61.665441,-7.025943,37.920933,66.146899,8.069587,86.085021,74.397728,5.928052,84.309628,79.023201,28.89183,39.993161,53.570959,21.64938,41.671493,50.649463,-25.518322,45.411211,-18.798369,,22.100185,19.141396,69.719413,55.801783,4.99543,50.530558,51.017375,52.48791,40.396402,-14.837953,26.635536,50.953744,43.357411,31.022776,-12.018164,16.852603
2023-11-20 17:30:00,61.665441,-7.017839,37.920933,66.146899,8.085799,86.133905,74.389729,5.919904,84.309628,79.031171,28.859142,40.001274,53.579179,21.64133,41.671493,50.649463,-25.510228,45.443948,-18.798369,,22.128718,19.141396,69.719413,55.761293,5.003509,50.522464,51.025541,52.48791,40.404444,-14.837953,26.627473,50.929586,43.365567,31.006708,-12.009932,16.873203
2023-11-20 17:40:00,61.665441,-7.005343,37.920933,66.138912,8.126329,86.125757,74.373731,5.911757,84.309628,79.023201,28.867314,39.993161,53.587398,21.705734,41.679486,50.652977,-25.518322,45.443948,-18.806531,,22.116051,19.141396,69.735172,55.793685,5.003509,50.518052,51.025541,52.504217,40.372276,-14.837953,26.619411,50.929586,43.365567,31.006708,-12.009932,16.873203
2023-11-20 17:50:00,61.681756,-7.025943,37.920933,66.154885,8.142541,86.142052,74.357733,5.936199,84.289028,79.023201,28.85097,39.993161,53.603837,21.64938,41.6635,50.697692,-25.494041,45.443948,-18.790208,,22.131917,19.141396,69.743051,55.761293,5.011589,50.546745,51.050038,52.504217,40.420529,-14.846076,26.603285,50.953744,43.349256,30.998674,-12.0017,16.844546
2023-11-20 18:00:00,61.665441,-7.025943,37.920933,66.138912,8.150648,86.158346,74.357733,5.911757,84.309628,79.031171,28.859142,40.001274,53.595617,21.697683,41.679486,50.70573,-25.502135,45.460317,-18.798369,,22.131917,19.141396,69.743051,55.809881,5.011589,50.546745,51.050038,52.504217,40.412487,-14.846076,26.566559,50.937639,43.3411,30.998674,-12.009932,16.844546
2023-11-20 18:10:00,61.673598,-7.025943,37.928971,66.146899,8.16686,86.158346,74.349734,5.911757,84.301559,79.031171,28.85097,40.009386,53.587398,21.64938,41.679486,50.713768,-25.494041,45.468501,-18.806531,,22.131917,19.149476,69.75881,55.745098,5.019668,50.538652,51.074536,52.528677,40.420529,-14.854199,26.595222,50.921533,43.332945,30.974572,-12.009932,16.844546
2023-11-20 18:20:00,61.673598,-7.025943,37.928971,66.114952,8.16686,86.174641,74.349734,5.928052,84.309628,79.039141,28.867314,40.001274,53.583237,21.64133,41.671493,50.713768,-25.494041,45.452133,-18.806531,,22.13985,19.149476,69.76669,55.817978,5.011589,50.538652,51.074536,52.512371,40.492909,-14.854199,26.579096,50.913481,43.324789,30.982606,-12.018164,16.852603
2023-11-20 18:30:00,61.665441,-7.017839,37.928971,66.138912,8.150648,86.150199,74.397728,5.952494,84.301559,79.031171,28.85097,39.993161,53.603837,21.64938,41.679486,50.737882,-25.494041,45.468501,-18.806531,,22.13985,19.149476,69.774569,55.793685,4.990989,50.526145,51.06637,52.528677,40.500951,-14.846076,26.571034,50.921533,43.324789,30.982606,-11.993468,16.836489
2023-11-20 18:40:00,61.673598,-7.025943,37.928971,66.138912,8.16686,86.182788,74.389729,5.960641,84.309628,79.039141,28.85097,40.001274,53.583237,21.64938,41.679486,50.745921,-25.485947,45.493054,-18.806531,,22.13985,19.149476,69.782449,55.826076,5.019668,50.538652,51.082702,52.528677,40.46074,-14.854199,26.587159,50.921533,43.332945,30.982606,-12.018164,16.828433
2023-11-20 18:50:00,61.681756,-7.025943,37.928971,66.154885,8.20739,86.190936,74.38173,5.952494,84.309628,79.071021,28.867314,40.009386,53.620276,21.677083,41.687478,50.761997,-25.477853,45.493054,-18.814693,,22.168383,19.149476,69.798208,55.789281,5.019668,50.546745,51.099033,52.536831,40.452698,-14.854199,26.579096,50.905428,43.324789,30.974572,-11.993468,16.844546
2023-11-20 19:00:00,61.698071,-7.025943,37.953086,66.170859,8.191178,86.223525,74.389729,5.944346,84.317697,79.055081,28.85097,40.017498,53.644934,21.729885,41.695471,50.770035,-25.461666,45.509423,-18.839178,,22.179515,19.165634,69.853364,55.805476,5.043906,50.587214,51.115365,52.553138,40.492909,-14.854199,26.595222,50.929586,43.332945,30.982606,-12.0017,16.828433
2023-11-20 19:10:00,61.722544,-7.025943,37.985238,66.202805,8.215496,86.272409,74.421725,5.936199,84.341904,79.086962,28.867314,40.041835,53.669592,21.729885,41.690857,50.829816,-25.437385,45.558529,-18.822854,,22.211248,19.173714,69.892762,55.797378,5.076223,50.635776,51.172526,52.585752,40.573332,-14.846076,26.595222,50.969849,43.3205,30.974572,-12.009932,16.860659
2023-11-20 19:20:00,61.755174,-7.042151,38.017391,66.194818,8.247921,86.313145,74.429724,5.985083,84.341904,79.110872,28.896086,40.049947,53.68187,21.745986,41.743428,50.85393,-25.421197,45.607636,-18.822854,,22.227114,19.165634,69.932159,55.878357,5.100461,50.668151,51.237853,52.573305,40.637669,-14.846076,26.619411,50.977901,43.3411,30.982606,-12.009932,16.860659
2023-11-20 19:30:00,61.77149,-7.042151,38.049543,66.218778,8.280345,86.345734,74.493716,5.919904,84.358042,79.134783,28.89183,40.074284,53.706528,21.778188,41.735435,50.946874,-25.40501,45.68948,-18.822854,,22.274712,19.173714,70.010954,55.845966,5.124699,50.70862,51.278682,52.683594,40.645712,-14.837953,26.619411,50.977901,43.365567,30.982606,-12.018164,16.868716
2023-11-20 19:40:00,61.795962,-7.050255,38.073657,66.242738,8.288451,86.386471,74.517713,5.822137,84.37418,79.142753,28.89183,40.090509,53.747625,21.80234,41.783392,51.019217,-25.332166,45.82043,-18.822854,,22.314377,19.206031,70.089749,55.821672,5.157016,50.757183,51.401169,52.805896,40.685923,-14.837953,26.627473,51.018164,43.357411,30.974572,-12.034627,16.884829
2023-11-20 19:50:00,61.828593,-7.050255,38.097772,66.242738,8.337088,86.370176,74.525712,5.879168,84.382249,79.198544,28.89183,40.114846,53.780502,21.846143,41.770785,51.139788,-25.299791,45.894089,-18.822854,,22.338177,19.246428,70.129147,55.886455,5.184892,50.805745,51.466496,52.968965,40.71005,-14.837953,26.643599,51.010111,43.357411,30.982606,-12.026395,16.860659
2023-11-20 20:00:00,61.853066,-7.050255,38.121886,66.266698,8.256027,86.394618,74.557708,5.871021,84.398387,79.190574,28.924518,40.13107,53.81338,21.886396,41.831349,51.22017,-25.29611,45.967748,-18.831016,,22.385775,19.286824,70.070952,55.813574,5.213572,50.862401,51.515491,53.156495,40.742219,-14.821708,26.667788,51.018164,43.357411,30.966538,-12.042859,16.852603
